"filename", "language", "XML", "JavaScript", "PHP", "HTML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\wallet\deposit\amount.blade.php", "PHP", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 1, 125
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\wallet\deposit\confirm.blade.php", "PHP", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 2, 120
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\wallet\deposit\payment.blade.php", "PHP", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 2, 149
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\wallet\index.blade.php", "PHP", 0, 0, 661, 0, 0, 0, 0, 0, 0, 0, 3, 664
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\wallet\withdraw.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Mostafa\Dotworks App\routes\api.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\Mostafa\Dotworks App\routes\channels.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"d:\Mostafa\Dotworks App\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\Mostafa\Dotworks App\routes\web.php", "PHP", 0, 0, 77, 0, 0, 0, 0, 0, 0, 122, 18, 217
"d:\Mostafa\Dotworks App\server.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
"d:\Mostafa\Dotworks App\tailwind.config.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 2, 186
"d:\Mostafa\Dotworks App\tests\CreatesApplication.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
"d:\Mostafa\Dotworks App\tests\Feature\ExampleTest.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"d:\Mostafa\Dotworks App\tests\TestCase.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Mostafa\Dotworks App\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Mostafa\Dotworks App\vendor\facade\ignition\resources\compiled\ignition.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 27, 0, 32
"d:\Mostafa\Dotworks App\vendor\facade\ignition\resources\compiled\index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Mostafa\Dotworks App\webpack.mix.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 3, 25
"Total", "-", 737, 190972, 17680, 12, 747, 29453, 20136, 60, 13, 68701, 51591, 380102
